Wraps = 	64	 Interleafs = 	512	 finished in 	37583	 ms															
Wraps = 	64	 Interleafs = 	512	 PSNR: 	8.21528																
Wraps = 	64	 Interleafs = 	512	 SSIM: 	0.0151807																
																					
Num of Samples = 	65536																				
Wraps = 	128	 Interleafs = 	512	 finished in 	37486	 ms															
Wraps = 	128	 Interleafs = 	512	 PSNR: 	8.2197																
Wraps = 	128	 Interleafs = 	512	 SSIM: 	0.0154661																
																					
Num of Samples = 	131072																				
Wraps = 	256	 Interleafs = 	512	 finished in 	37219	 ms															
Wraps = 	256	 Interleafs = 	512	 PSNR: 	8.26825																
Wraps = 	256	 Interleafs = 	512	 SSIM: 	0.0162125																
																					
Num of Samples = 	262144																				
Wraps = 	512	 Interleafs = 	512	 finished in 	37454	 ms															
Wraps = 	512	 Interleafs = 	512	 PSNR: 	8.27407																
Wraps = 	512	 Interleafs = 	512	 SSIM: 	0.0160428																
